Date,Open,High,Low,Close
2022-08-08,107.85,108.15,106.7,107.2
2022-08-10,107.9,109.9,106.5,109.2
2022-08-11,110.3,110.65,108.6,109.1
2022-08-12,109.35,112.9,108.8,112.65
2022-08-16,113.7,113.7,111.1,113
2022-08-17,113.5,113.5,112.25,112.5
2022-08-18,112.5,113,111.4,112.55
2022-08-19,112.55,112.9,109.55,110.05
2022-08-22,109.5,109.6,104.7,105.05
2022-08-23,104.2,108.25,103.5,107.6
2022-08-24,107.55,108.15,105.75,106.55
2022-08-25,107.05,107.9,105.75,106.25
2022-08-26,107.25,109.2,107.1,107.35
2022-08-29,104.05,105.65,103.25,104.85
2022-08-30,106.5,108.5,106.05,108.3
2022-09-01,107,107.75,105.9,106.4
2022-09-02,107,107,105,105.5
2022-09-05,106.05,107.3,105.8,106.9
2022-09-06,107.4,108.8,106.05,108.6
2022-09-07,107.55,108.9,107.1,107.6
2022-09-08,108.4,108.4,105.35,105.85
2022-09-09,107,107.35,105.5,105.7
2022-09-12,106.8,107.95,106.5,107.75
2022-09-13,108,108.7,107.55,107.75
2022-09-14,106.3,110.4,105.8,109.15
2022-09-15,108.65,109,106.5,107
2022-09-16,106.2,107.5,105,105.7
2022-09-19,106.2,106.2,103,103.1
2022-09-20,104.2,106.35,104,105.8
2022-09-21,105.8,107.2,104.3,104.45
2022-09-22,104.45,105.3,103.5,103.6
2022-09-23,106.2,107.9,103.75,104.3
2022-09-26,104.4,104.45,98.5,99.85
2022-09-27,101.35,101.35,96.5,97.65
2022-09-28,96.55,97.85,95,95.2
2022-09-29,97,98.25,96.4,96.85
2022-09-30,96.85,100.4,95.7,99.3
2022-10-03,99.6,99.65,98,98.35
2022-10-04,100.3,101.5,100,101.15
2022-10-06,102,103.8,101.75,103.55
2022-10-07,103.3,103.5,101.9,103.3
2022-10-10,102,103.5,101.15,103.2
2022-10-11,103.55,103.65,99.8,100.35
2022-10-12,100.35,101.2,99,100.55
2022-10-13,101.1,101.8,98.8,100.1
2022-10-14,101.85,102.8,99.9,100.1
2022-10-17,99.75,100.4,98.1,99.55
2022-10-18,100.3,101,99.8,100.65
2022-10-19,100.6,101.25,99.7,100.05
2022-10-20,99.5,101.2,98.8,100.9
2022-10-21,100.85,101.45,99.35,100.2
2022-10-24,102,102.1,101,101.2
2022-10-25,101.15,102.5,100.7,101.2
2022-10-27,102.25,104.65,102.05,104.2
2022-10-28,104.1,104.6,100.8,101.6
2022-10-31,101.9,102.15,100.3,101.55
2022-11-01,98.55,101.45,98.55,101.2
2022-11-02,101,103,100.8,101.25
2022-11-03,100.75,102.45,100,102
2022-11-04,102.5,105,102.2,104.75
2022-11-07,105.9,107.45,104.6,106.7
2022-11-09,107.25,107.55,105.55,106.1
2022-11-10,105.2,106,104.45,104.7
2022-11-11,106.25,108.2,106.25,107.55
2022-11-14,108.5,110,108.25,108.7
2022-11-15,109,109.35,107.2,108.55
2022-11-16,108.45,108.8,105.2,106.55
2022-11-17,105.9,106.8,104.5,105.85
2022-11-18,105.85,106.3,104.7,105.5
2022-11-21,107.7,107.7,103.85,104.25
2022-11-22,104.4,105.4,103.55,105.2
2022-11-23,105.7,106,104.95,105.45
2022-11-24,105.85,105.95,104.6,105.5
2022-11-25,105.6,106.5,105.1,106.2
2022-11-28,106,106.4,104.5,104.9
2022-11-29,105,107.65,104.95,106.1
2022-11-30,106.1,107.95,105.9,107.65
2022-12-01,108.7,111.3,108,110.75
2022-12-02,110.8,112.5,110.15,112
2022-12-05,113.3,116.1,112.65,115.85
2022-12-06,115.35,115.35,112.25,112.95
2022-12-07,113.4,113.5,110.85,111.2
2022-12-08,111.75,113,110.8,111.85
2022-12-09,112.8,113.75,109.7,110.45
2022-12-12,110.2,112.1,108.7,111.7
2022-12-13,112.55,112.85,110.8,111.2
2022-12-14,111.6,113.2,111.1,113.05
2022-12-15,112.65,113.45,110.7,110.95
2022-12-16,110.35,112.1,109.45,111.05
2022-12-19,111.05,112.1,110.8,111.8
2022-12-20,111.15,111.5,109,110.95
2022-12-21,111.8,112,108.7,109.4
2022-12-22,110,110.6,106.35,107.65
2022-12-23,106,106.75,101.95,102.25
2022-12-26,102.8,105.55,101.65,105
2022-12-27,106.65,111.55,105.85,111.15
2022-12-28,111.05,112.3,109.7,110
2022-12-29,109,112,108.85,111.75
2022-12-30,112.9,114.75,112.1,112.65
2023-01-02,114.4,119.7,113.75,119.25
2023-01-03,119.8,120.5,117.75,118.45
2023-01-04,118.75,119.05,115.35,115.75
2023-01-05,116.5,117,114.5,116.55
2023-01-06,117,117.85,115.25,115.65
2023-01-09,116.9,118.1,116.55,117.55
2023-01-10,117.65,119.75,117.55,118.85
2023-01-11,119.45,120.35,118,118.85
2023-01-12,118.95,119.25,117.6,118.1
2023-01-13,118.55,121.6,118.15,120.45
2023-01-16,121.45,121.45,118.8,119.95
2023-01-17,119.75,119.9,118,119.35
2023-01-18,120,123,120,122.45
2023-01-19,121.8,124.3,121.15,123.55
2023-01-20,123.4,124.2,122,122.95
2023-01-23,123.4,123.85,121.5,122
2023-01-24,122.5,122.55,120.1,120.4
2023-01-25,120.35,122.25,120.1,121
2023-01-27,121.9,123.25,119.1,120.65
2023-01-30,120.45,121.1,116.9,118.75
2023-01-31,118.75,120.45,117.75,119.7
2023-02-01,120.1,124.15,119.3,122.05
2023-02-02,121.95,122.5,118.4,119.95
2023-02-03,120.05,121,117.2,120.35
2023-02-06,120,120,117,117.45
2023-02-07,112.6,115.35,110.55,111.45
2023-02-08,111.45,112.75,110.1,111.45
2023-02-09,112.15,112.95,109.95,111.25
2023-02-10,111,111.25,108.3,108.8
2023-02-13,108.8,110.6,108.4,108.75
2023-02-14,109.55,109.9,108.25,109.25
2023-02-15,109,110.6,108.8,110.3
2023-02-16,111,112.2,110.65,112
2023-02-17,111.55,113.1,111.3,112.25
2023-02-20,112.3,112.7,111.05,112.35
2023-02-21,112.9,114.2,112.75,113.15
2023-02-22,113.25,113.7,110.65,111.15
2023-02-23,111.55,113.65,111.35,112.05
2023-02-24,112.5,112.9,109.55,109.75
2023-02-27,109.8,110.05,105.15,106.1
2023-02-28,106.85,107.05,103.55,103.95
2023-03-01,104.7,107.1,104.5,105.5
2023-03-02,106.05,106.9,104.35,104.65
2023-03-03,106,107.45,105,107
2023-03-06,107.5,107.6,105,105.65
2023-03-08,105.3,106.9,104,106.5
2023-03-09,107.85,108.95,107.5,108.2
2023-03-10,107,108.35,106.6,108.1
2023-03-13,108.25,109,106.35,106.8
2023-03-14,107,108.55,106.2,106.4
2023-03-15,107.5,109.15,107.4,108.65
2023-03-16,107.25,107.25,103.7,105.05
2023-03-17,106.45,107.35,105,107
2023-03-20,106.1,106.45,103.85,104.5
2023-03-21,105.1,105.4,104.3,104.75
2023-03-22,104.75,105.95,104.4,104.8
2023-03-23,104.4,105.5,104.35,104.9
2023-03-24,105,105.05,101.55,102.1
2023-03-27,102.55,103.4,102.1,102.3
2023-03-28,102.85,103.1,102.35,102.5
2023-03-29,102.5,104.5,101.65,103.6
2023-03-31,105,105.5,104.1,104.5
2023-04-03,105.1,105.25,103.8,104.1
2023-04-05,104.1,105,103.2,104.85
2023-04-06,104.85,105.1,104.2,104.35
2023-04-10,104.5,105.75,104.5,104.95
2023-04-11,105.55,107.85,105.1,107.55
2023-04-12,108.2,108.4,106.95,107.6
2023-04-13,107.5,108.15,105.9,107.5
2023-04-17,107.6,108.3,106.75,107.15
2023-04-18,107.2,107.9,106.85,107.6
2023-04-19,107.85,110.4,107.75,108.1
2023-04-20,108.2,108.7,107.4,108
2023-04-21,108,108.1,105.35,106.15
2023-04-24,106.4,106.7,105.35,106.5
2023-04-25,106.7,107.6,106.25,107.05
2023-04-26,106.5,107.05,105.85,106.85
2023-04-27,106.3,107.85,106.3,107.65
2023-04-28,107.8,108.5,107.3,107.95
2023-05-02,108,110.85,108,110.3
2023-05-03,109.8,111,108.75,109.7
2023-05-04,110,111.9,109.5,111.05
2023-05-05,110.85,110.85,108.4,108.65
2023-05-08,109.25,109.85,108.25,109.55
2023-05-09,109.6,111.2,109.15,109.55
2023-05-10,109.6,110,108.6,109.25
2023-05-11,109.2,109.5,108.25,108.55
2023-05-12,108.35,108.4,106.55,106.75
2023-05-15,107.05,108.2,105.65,107.7
2023-05-16,108.2,108.65,107.2,107.4
2023-05-17,107.4,107.5,105.55,106
2023-05-18,106.5,107.15,105.1,105.2
2023-05-19,105.6,105.7,104.05,104.65
2023-05-22,105,105.25,104.3,105
2023-05-23,105.1,106.05,105,105.6
2023-05-24,105.1,105.8,104.9,105.2
2023-05-25,105,105.2,104.3,104.85
2023-05-26,105,106.75,104.95,106.4
2023-05-29,107,108.85,106.3,108.45
2023-05-30,108.95,108.95,106.9,107.05
2023-05-31,106.4,106.95,105.6,105.8
2023-06-01,105.9,106.7,105.8,105.95
2023-06-02,106.5,108.3,106.5,108
2023-06-05,108.65,109.9,107.8,109.4
2023-06-06,109.75,109.85,108.3,109
2023-06-07,109.5,111.75,108.9,111.5
2023-06-08,111.5,113,110.95,111.15
2023-06-09,111.25,111.65,108.65,108.9
2023-06-12,109.15,110.6,109.15,109.5
2023-06-13,110,111.85,109.65,111.15
2023-06-14,111.5,114,111.4,113.8
2023-06-15,113.9,114.2,113.25,113.75
2023-06-16,114.4,114.8,113.85,114.25
2023-06-19,115.45,115.6,113.05,114.1
2023-06-20,114.1,115.25,113.5,114.25
2023-06-21,114.9,114.9,112.85,113.9
2023-06-22,110.6,112.2,110.55,111.1
2023-06-23,110.5,110.75,109.2,109.6
2023-06-26,109.6,110.2,108.1,109.85
2023-06-27,110.6,111.5,110.15,110.75
2023-06-28,111.5,112.05,110.9,111.55
2023-06-30,111.6,112.2,110.4,112
2023-07-03,112.25,114.25,112.05,113.1
2023-07-04,113.2,113.4,112.1,112.4
2023-07-05,112.55,113.55,112.2,112.95
2023-07-06,112,112.85,111.5,112.65
2023-07-07,112,113.3,111.25,111.6
2023-07-10,112.25,115.7,111.65,115.3
2023-07-11,115.6,116.1,114.8,115.15
2023-07-12,115.15,116.05,114,114.7
2023-07-13,116,116.95,114.5,114.85
2023-07-14,115.7,117.9,114.8,117.15
2023-07-17,117.95,119.35,117.1,117.75
2023-07-18,118,118.15,116.4,116.6
2023-07-19,116.7,117.2,116.1,116.7
2023-07-20,116.7,117.25,116.35,116.95
2023-07-21,116.6,117.95,115.5,116.6
2023-07-24,116.5,116.5,114.35,115.5
2023-07-25,115,119.9,114.35,119.25
2023-07-26,119.8,120.6,118.85,119.95
2023-07-27,120.25,121.45,119.15,119.8
2023-07-28,120.2,121.1,118.7,120.6
2023-07-31,120.6,123.85,120.6,123.15
2023-08-01,123.55,124.15,122.55,123.2
2023-08-02,122.9,122.9,118.25,118.95
2023-08-03,118.7,119.65,117.5,118.2
2023-08-04,119.4,119.75,118,119
2023-08-07,119.6,119.6,118,118.85
2023-08-08,119,119.5,117.95,118.15
